,Magnet Thickness,Magnet Corner Radius,Plate Thickness,Magnet Profile,Magnet Material Br,NZ Width,Magnet Radial Pos,Magnet Circum Pos,Top Magnet NZ Shift,Bottom Magnet NZ Shift,Spacer Pin Height,Kt Max
0,3.25,0.4,4.0,0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,88.96159922
1,3.35,0.4,4.0,-0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,89.32265993
2,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.8,88.40656877
3,3.35,0.1,4.0,0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,91.91906981
4,3.25,0.1,4.2,-0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,84.83434907
5,3.35,0.1,4.2,-0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,89.87078262
6,3.25,0.4,4.2,-0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,86.8416934
7,3.35,0.4,4.2,0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,92.23614974
8,3.35,0.1,4.0,-0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,87.25933581
9,3.35,0.4,4.0,0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,89.56399663
10,3.25,0.1,4.0,-0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,86.73674615
11,3.25,0.1,4.2,0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,89.57011138
12,3.25,0.1,4.0,0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,86.96224699
13,3.25,0.4,4.2,0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,87.16799273
14,3.35,0.1,4.2,0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,90.13876175
15,3.25,0.4,4.0,-0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,84.36041378
16,3.35,0.4,4.2,-0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,87.43125967
17,3.3,0.25,4.1,0.0,14.3,2.0,0.2,0.5,0.0,0.0,10.8,88.72420705
18,3.3,0.25,4.1,0.0,14.3,2.0,0.2,-0.5,0.0,0.0,10.8,88.78075697
19,3.3,0.25,4.1,0.0,14.3,1.6,-0.2,-0.5,0.0,0.0,10.8,87.98579808
20,3.3,0.25,4.1,0.0,14.3,1.6,-0.2,0.5,0.0,0.0,10.8,87.96794635
21,3.3,0.25,4.1,0.0,14.3,2.0,-0.2,-0.5,0.0,0.0,10.8,88.10108474
22,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.8,88.40656877
23,3.3,0.25,4.1,0.0,14.3,1.6,0.2,-0.5,0.0,0.0,10.8,88.75180884
24,3.3,0.25,4.1,0.0,14.3,2.0,-0.2,0.5,0.0,0.0,10.8,87.96825191
25,3.3,0.25,4.1,0.0,14.3,1.6,0.2,0.5,0.0,0.0,10.8,88.70215299
26,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.8,88.40656877
27,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,-0.3,-0.3,10.8,88.52102996
28,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.3,0.3,10.8,88.24959918
29,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.3,-0.3,10.8,88.40161989
30,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,-0.3,0.3,10.8,88.40396723
31,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.775,88.62
32,3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.825,88.15
