,kt_max
No.1,88.68715455384
No.2,88.4603331882
No.3,88.68715457346
No.4,88.23351182255999
No.5,88.4603331882
No.6,88.4603331882
No.7,89.14079730474
No.8,88.4603331882
No.9,88.68715457346
No.10,88.4603331882
No.11,89.59444003602
No.12,89.59444003602
No.13,88.91397591948
No.14,88.91397591948
No.15,88.46033320782001
No.16,88.68715455384
No.17,88.46033320782001
No.18,88.68715455383999
No.19,88.68715457346
No.20,88.91397591948001
No.21,88.68715455384
No.22,88.4603331882
No.23,88.68715455384
No.24,88.68715457346
No.25,88.91397593910001
No.26,88.91397591948001
No.27,88.91397593910001
No.28,88.68715455383999
No.29,88.23351184218
No.30,88.91397591948
No.31,89.14079728511999
No.32,88.68715457346
