Magnet Thickness,Magnet Corner Radius,Plate Thickness,Magnet Profile,Magnet Material Br,NZ Width,Magnet Radial Pos,Magnet Circum Pos,Top Magnet NZ Shift,Bottom Magnet NZ Shift,Spacer Pin Height,Kt Max
3.25,0.4,4.0,0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,88.96159922
3.35,0.4,4.0,-0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,89.32265993
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.8,88.40656877
3.35,0.1,4.0,0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,91.91906981
3.25,0.1,4.2,-0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,84.83434907
3.35,0.1,4.2,-0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,89.87078262
3.25,0.4,4.2,-0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,86.8416934
3.35,0.4,4.2,0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,92.23614974
3.35,0.1,4.0,-0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,87.25933581
3.35,0.4,4.0,0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,89.56399663
3.25,0.1,4.0,-0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,86.73674615
3.25,0.1,4.2,0.15,14.5,1.8,0.0,0.0,0.0,0.0,10.8,89.57011138
3.25,0.1,4.0,0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,86.96224699
3.25,0.4,4.2,0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,87.16799273
3.35,0.1,4.2,0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,90.13876175
3.25,0.4,4.0,-0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,84.36041378
3.35,0.4,4.2,-0.15,14.1,1.8,0.0,0.0,0.0,0.0,10.8,87.43125967
3.3,0.25,4.1,0.0,14.3,2.0,0.2,0.5,0.0,0.0,10.8,88.72420705
3.3,0.25,4.1,0.0,14.3,2.0,0.2,-0.5,0.0,0.0,10.8,88.78075697
3.3,0.25,4.1,0.0,14.3,1.6,-0.2,-0.5,0.0,0.0,10.8,87.98579808
3.3,0.25,4.1,0.0,14.3,1.6,-0.2,0.5,0.0,0.0,10.8,87.96794635
3.3,0.25,4.1,0.0,14.3,2.0,-0.2,-0.5,0.0,0.0,10.8,88.10108474
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.8,88.40656877
3.3,0.25,4.1,0.0,14.3,1.6,0.2,-0.5,0.0,0.0,10.8,88.75180884
3.3,0.25,4.1,0.0,14.3,2.0,-0.2,0.5,0.0,0.0,10.8,87.96825191
3.3,0.25,4.1,0.0,14.3,1.6,0.2,0.5,0.0,0.0,10.8,88.70215299
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.8,88.40656877
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,-0.3,-0.3,10.8,88.52102996
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.3,0.3,10.8,88.24959918
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.3,-0.3,10.8,88.40161989
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,-0.3,0.3,10.8,88.40396723
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.775,88.62
3.3,0.25,4.1,0.0,14.3,1.8,0.0,0.0,0.0,0.0,10.825,88.15
